CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgOrderValue,UniqueProducts,AvgDaysBetweenPurchases,FavShoppingDay,FavShoppingHour,Is_UK,MonthlySpendMean,MonthlySpendSTD,SpendingTrend,Cluster
12347.0,2,7,4310.0,2458,615.7142857142859,103,2.0,Tuesday,14,0,615.7142857142857,341.07078946836157,3.2397281323877083,2
12348.0,75,4,1437.24,2332,359.31,21,10.846153846153847,Thursday,19,0,359.31,203.87568859479052,-22.548979591836734,2
12349.0,19,1,1457.55,630,1457.5500000000002,72,0.0,Monday,9,0,1457.55,0.0,0.0,2
12350.0,310,1,294.4,196,294.40000000000003,16,0.0,Wednesday,16,0,294.4,0.0,0.0,1
12352.0,36,7,1385.74,526,197.9628571428572,57,3.3947368421052633,Tuesday,14,0,346.435,120.04215384605527,2.190382978723404,1
12353.0,204,1,89.0,20,89.0,4,0.0,Thursday,17,0,89.0,0.0,0.0,1
12354.0,232,1,1079.4,530,1079.3999999999999,58,0.0,Thursday,13,0,1079.4,0.0,0.0,2
12355.0,214,1,459.4,240,459.4,13,0.0,Monday,13,0,459.4,0.0,0.0,1
12356.0,23,3,2487.43,1573,829.1433333333333,52,5.298245614035087,Tuesday,9,0,829.1433333333333,991.4625854934382,-166.157911392405,2
12358.0,2,2,928.0600000000001,242,464.03,12,9.3125,Tuesday,10,0,464.03000000000003,83.67901648561606,23.668000000000006,1
12359.0,58,4,6310.03,1609,1577.5075000000002,214,1.1188524590163935,Thursday,12,0,1577.5075,979.4729773837561,178.35660098522172,0
12360.0,52,3,2302.06,1156,767.3533333333335,104,1.184,Tuesday,15,0,767.3533333333334,270.7657477106979,-12.302105263157886,2
12361.0,287,1,174.9,90,174.89999999999998,9,0.0,Friday,13,0,174.9,0.0,0.0,1
12362.0,3,10,4737.23,2197,473.72300000000007,200,1.1254901960784314,Thursday,15,0,592.15375,389.12720138196096,34.03467571644043,0
12363.0,110,2,552.0,408,276.0,23,6.0,Monday,13,0,276.0,32.668333290818495,-11.550000000000004,1
12364.0,8,4,1208.1,1499,302.025,69,1.2875,Friday,15,0,302.025,211.40655138066717,-37.71142857142856,2
12365.0,291,1,320.69,173,320.68999999999994,21,0.0,Monday,13,0,320.69,0.0,0.0,1
12367.0,4,1,150.9,172,150.89999999999998,10,0.0,Monday,16,0,150.9,0.0,0.0,1
12370.0,51,4,3421.94,2349,855.485,142,1.8780487804878048,Tuesday,12,0,1140.6466666666668,532.1485172706331,-87.72981012658227,2
12371.0,60,1,1527.96,582,1527.96,62,0.0,Tuesday,10,0,1527.96,0.0,0.0,2
12372.0,72,3,1196.04,788,398.68,33,4.666666666666667,Wednesday,12,0,398.68,70.34687484174401,-3.0754054054054087,1
12373.0,311,1,324.6,196,324.6,13,0.0,Tuesday,13,0,324.6,0.0,0.0,1
12374.0,25,1,622.93,339,622.93,32,0.0,Monday,15,0,622.93,0.0,0.0,1
12375.0,11,2,377.5,176,188.75000000000003,13,6.214285714285714,Friday,14,0,188.75,2.1920310216782832,-1.5499999999999972,1
12377.0,315,2,1548.12,942,774.06,71,0.52,Monday,9,0,774.06,321.67701689738414,-454.91999999999996,2
12379.0,82,2,777.24,402,388.6199999999999,38,2.3783783783783785,Monday,10,0,388.62,37.08067960542251,-17.47999999999998,1
12380.0,22,4,2427.81,1110,606.9525,76,1.6363636363636365,Friday,11,0,606.9525,209.04982282939153,35.85642857142856,2
12381.0,5,3,1474.81,797,491.6033333333333,69,1.4074074074074074,Friday,9,0,491.6033333333333,479.4253326987773,-230.30807692307695,2
12383.0,185,5,1628.56,1518,325.71200000000005,83,1.7741935483870968,Wednesday,14,0,325.712,239.84953735623512,-95.97622807017545,2
12384.0,29,2,425.27000000000004,122,212.635,25,3.8333333333333335,Wednesday,11,0,212.635,0.07778174593049973,-0.03666666666666174,1
12386.0,338,2,401.9,354,200.95,10,3.2222222222222223,Wednesday,9,0,200.95,81.95367593952083,-115.89999999999998,1
12388.0,16,6,2780.66,1462,463.4433333333334,57,3.121212121212121,Thursday,11,0,463.4433333333333,327.1524836321233,34.93149700598803,2
12390.0,80,1,504.84000000000003,350,504.8400000000001,31,0.0,Wednesday,9,0,504.84000000000003,0.0,0.0,1
12391.0,22,1,439.66,293,439.66,92,0.0,Friday,12,0,439.66,0.0,0.0,1
12393.0,72,4,1582.6000000000001,816,395.65000000000003,47,4.111111111111111,Wednesday,9,0,527.5333333333333,109.0752186948682,-11.206122448979595,2
12394.0,64,2,1080.48,808,540.24,25,6.375,Friday,14,0,540.24,267.5126374584946,75.664,2
12395.0,19,12,2682.63,2097,223.5525,90,2.4195804195804196,Friday,16,0,335.32875,201.63078537887017,4.247048406139316,2
12397.0,36,2,2214.9,1250,1107.4500000000003,109,0.8048780487804879,Wednesday,14,0,1107.4499999999998,3.337544007200443,-1.1800000000000068,2
12398.0,46,1,1435.66,1389,1435.6599999999999,84,0.0,Tuesday,10,0,1435.66,0.0,0.0,2
12399.0,119,4,1033.65,1173,258.4125,46,2.6296296296296298,Tuesday,10,0,258.4125,143.6191522453279,-27.998846153846156,1
12401.0,303,1,69.3,10,69.3,4,0.0,Wednesday,13,0,69.3,0.0,0.0,1
12402.0,323,1,195.6,92,195.6,10,0.0,Thursday,13,0,195.6,0.0,0.0,1
12403.0,50,1,391.7,94,391.7,4,0.0,Friday,10,0,391.7,0.0,0.0,1
12405.0,149,1,1390.39,849,1390.3900000000003,53,0.0,Thursday,8,0,1390.39,0.0,0.0,2
12406.0,22,2,3415.3,1818,1707.65,92,1.5480769230769231,Thursday,19,0,1707.65,122.1880517890353,34.55999999999999,2
12407.0,50,5,1507.1200000000001,1403,301.42400000000004,56,2.9859154929577465,Wednesday,9,0,376.78,277.27468306115986,24.573999999999995,2
12408.0,33,5,2618.55,1391,523.7099999999999,80,2.26,Friday,10,0,654.6375,83.98929152973415,-11.336530612244902,2
12410.0,309,2,533.33,207,266.66499999999996,25,0.0,Friday,10,0,533.33,0.0,0.0,1
12412.0,75,3,1142.88,824,380.96000000000004,42,1.631578947368421,Monday,13,0,380.96000000000004,88.39763118998155,-52.96714285714286,1
12413.0,67,3,686.1,282,228.70000000000002,28,7.685714285714286,Thursday,16,0,228.70000000000002,176.2647937053795,-21.53928571428571,1
12414.0,217,3,442.41,297,147.47,15,6.571428571428571,Wednesday,14,0,147.47,48.29698437790916,9.814285714285717,1
12417.0,3,9,3226.1,1527,358.4555555555556,157,1.9230769230769231,Thursday,14,0,403.2625,175.58576331403248,15.910078125000002,2
12418.0,113,1,668.58,407,668.58,34,0.0,Friday,11,0,668.58,0.0,0.0,1
12420.0,64,1,600.39,345,600.3900000000001,29,0.0,Friday,8,0,600.39,0.0,0.0,1
12421.0,16,4,639.04,478,159.76000000000002,31,7.525,Sunday,13,0,159.76,24.61234514087054,2.5877358490566045,1
